Index,"Gender",Year,Age,"Name","Movie"
104,"Male",1931,53,"Lionel Barrymore","A Free Soul"
105,"Male",1932,47,"Wallace Beery","The Champ"
106,"Male",1933,35,"Fredric March","Dr. Jekyll and Mr. Hyde"
107,"Male",1934,34,"Charles Laughton","The Private Life of Henry VIII"
108,"Male",1935,34,"Clark Gable","It Happened One Night"
109,"Male",1936,49,"Victor McLaglen","The Informer"
110,"Male",1937,41,"Paul Muni","The Story of Louis Pasteur"
111,"Male",1938,37,"Spencer Tracy","Captains Courageous"
112,"Male",1939,38,"Spencer Tracy","Boys Town"
113,"Male",1940,34,"Robert Donat","Goodbye, Mr. Chips"
114,"Male",1941,32,"James Stewart","The Philadelphia Story"
115,"Male",1942,40,"Gary Cooper","Sergeant York"
116,"Male",1943,43,"James Cagney","Yankee Doodle Dandy"
117,"Male",1944,48,"Paul Lukas","Watch on the Rhine"
118,"Male",1945,41,"Bing Crosby","Going My Way"
119,"Male",1946,39,"Ray Milland","The Lost Weekend" 
120,"Male",1947,49,"Fredric March","The Best Years of Our Lives"
121,"Male",1948,57,"Ronald Colman","A Double Life"
122,"Male",1949,41,"Laurence Olivier","Hamlet"
123,"Male",1950,38,"Broderick Crawford","All the King's Men"
124,"Male",1951,39,"José Ferrer","Cyrano de Bergerac"
125,"Male",1952,52,"Humphrey Bogart","The African Queen"
126,"Male",1953,51,"Gary Cooper","High Noon"
127,"Male",1954,35,"William Holden","Stalag 17"
128,"Male",1955,30,"Marlon Brando","On the Waterfront"
129,"Male",1956,39,"Ernest Borgnine","Marty"
130,"Male",1957,36,"Yul Brynner","The King and I"
131,"Male",1958,43,"Alec Guinness","The Bridge on the River Kwai"
132,"Male",1959,49,"David Niven","Separate Tables"
133,"Male",1960,36,"Charlton Heston","Ben-Hur"
134,"Male",1961,47,"Burt Lancaster","Elmer Gantry"
135,"Male",1962,31,"Maximilian Schell","Judgment at Nuremberg"
136,"Male",1963,47,"Gregory Peck","To Kill a Mockingbird"
137,"Male",1964,37,"Sidney Poitier","Lilies of the Field"
138,"Male",1965,57,"Rex Harrison","My Fair Lady"
139,"Male",1966,42,"Lee Marvin","Cat Ballou"
140,"Male",1967,45,"Paul Scofield","A Man for All Seasons"
141,"Male",1968,42,"Rod Steiger","In the Heat of the Night"
142,"Male",1969,45,"Cliff Robertson","Charly"
143,"Male",1970,62,"John Wayne","True Grit"
144,"Male",1971,43,"George C. Scott","Patton"
145,"Male",1972,42,"Gene Hackman","The French Connection"
146,"Male",1973,48,"Marlon Brando","The Godfather"
147,"Male",1974,49,"Jack Lemmon","Save the Tiger"
148,"Male",1975,56,"Art Carney","Harry and Tonto"
149,"Male",1976,38,"Jack Nicholson","One Flew Over the Cuckoo's Nest"
150,"Male",1977,60,"Peter Finch","Network"
151,"Male",1978,30,"Richard Dreyfuss","The Goodbye Girl"
152,"Male",1979,40,"Jon Voight","Coming Home"
153,"Male",1980,42,"Dustin Hoffman","Kramer vs. Kramer"
154,"Male",1981,37,"Robert De Niro","Raging Bull"
155,"Male",1982,76,"Henry Fonda","On Golden Pond"
156,"Male",1983,39,"Ben Kingsley","Gandhi"
157,"Male",1984,53,"Robert Duvall","Tender Mercies"
158,"Male",1985,45,"F. Murray Abraham","Amadeus"
159,"Male",1986,36,"William Hurt","Kiss of the Spider Woman"
160,"Male",1987,62,"Paul Newman","The Color of Money"
161,"Male",1988,43,"Michael Douglas","Wall Street"
162,"Male",1989,51,"Dustin Hoffman","Rain Man"
163,"Male",1990,32,"Daniel Day-Lewis","My Left Foot"
164,"Male",1991,42,"Jeremy Irons","Reversal of Fortune"
165,"Male",1992,54,"Anthony Hopkins","The Silence of the Lambs"
166,"Male",1993,52,"Al Pacino","Scent of a Woman"
167,"Male",1994,37,"Tom Hanks","Philadelphia"
168,"Male",1995,38,"Tom Hanks","Forrest Gump"
169,"Male",1996,32,"Nicolas Cage","Leaving Las Vegas"
170,"Male",1997,45,"Geoffrey Rush","Shine"
171,"Male",1998,60,"Jack Nicholson","As Good as It Gets"
172,"Male",1999,46,"Roberto Benigni","Life Is Beautiful"
173,"Male",2000,40,"Kevin Spacey","American Beauty"
174,"Male",2001,36,"Russell Crowe","Gladiator"
175,"Male",2002,47,"Denzel Washington","Training Day"
176,"Male",2003,29,"Adrien Brody","The Pianist"
177,"Male",2004,43,"Sean Penn","Mystic River"
178,"Male",2005,37,"Jamie Foxx","Ray"
179,"Male",2006,38,"Philip Seymour Hoffman","Capote"
180,"Male",2007,45,"Forest Whitaker","The Last King of Scotland"
181,"Male",2008,50,"Daniel Day-Lewis","There Will Be Blood"
182,"Male",2009,48,"Sean Penn","Milk"
183,"Male",2010,60,"Jeff Bridges","Crazy Heart"
184,"Male",2011,50,"Colin Firth","The King's Speech"
185,"Male",2012,39,"Jean Dujardin","The Artist"
186,"Male",2013,55,"Daniel Day-Lewis","Lincoln"
187,"Male",2014,44,"Matthew McConaughey","Dallas Buyers Club"
188,"Male",2015,33,"Eddie Redmayne","The Theory of Everything"
189,"Male",2016,41,"Leonardo DiCaprio","The Revenant"
